,customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,income_rounded,signup_date_formatted,last_purchase_date_formatted
755,756,49,82000,1083.341803,Male,South,17,Home & Garden,59.56934958,06-01-2021,22-01-2021,82000,06-01-2021,22-01-2021
756,757,41,98100,1683.195566,Male,West,7,Toys,9.358913207,04-02-2021,19-11-2023,98100,04-02-2021,19-11-2023
757,758,40,48900,691.8592146,Female,South,28,Home & Garden,20.22807675,24-06-2021,26-11-2022,48900,24-06-2021,26-11-2022
759,760,49,37900,1987.692271,Female,East,13,Health,74.08125915,31-07-2022,29-06-2023,37900,31-07-2022,29-06-2023
760,761,54,63400,642.9652397,Male,West,17,Electronics,2.471437939,27-05-2021,14-06-2022,63400,27-05-2021,14-06-2022
762,763,66,119100,1691.743431,Male,West,36,Health,7.080351371,12-07-2021,09-12-2021,119100,12-07-2021,09-12-2021
763,764,72,107500,1833.299015,Male,East,28,Health,37.64901953,13-01-2021,02-08-2022,107500,13-01-2021,02-08-2022
764,765,30,50800,1441.506728,Male,West,15,Toys,8.108962833,14-06-2022,01-03-2023,50800,14-06-2022,01-03-2023
765,766,40,28800,581.5436884,Female,North,46,Electronics,76.89678431,03-09-2021,25-04-2023,28800,03-09-2021,25-04-2023
767,768,52,66600,61.10090361,Female,East,31,Clothing,88.47569103,24-04-2021,09-06-2023,66600,24-04-2021,09-06-2023
768,769,58,20200,1526.554236,Male,South,4,Home & Garden,53.02219866,21-08-2021,31-10-2022,20200,21-08-2021,31-10-2022
771,772,66,82900,254.9480167,Male,East,27,Home & Garden,45.43161519,22-06-2022,06-06-2023,82900,22-06-2022,06-06-2023
774,775,65,62100,1481.003222,Female,North,45,Health,42.13570877,26-05-2022,02-07-2023,62100,26-05-2022,02-07-2023
775,776,42,106000,295.2243663,Male,East,20,Clothing,89.24325383,29-04-2022,26-05-2023,106000,29-04-2022,26-05-2023
776,777,39,60200,891.3407286,Male,South,29,Toys,11.79872083,08-10-2021,08-05-2023,60200,08-10-2021,08-05-2023
780,781,66,26800,1676.113428,Male,West,48,Toys,38.66645568,27-01-2022,17-08-2023,26800,27-01-2022,17-08-2023
781,782,53,106800,1014.881987,Male,South,43,Clothing,88.02156245,07-06-2022,03-04-2023,106800,07-06-2022,03-04-2023
783,784,78,24400,1609.902977,Male,West,41,Electronics,39.27998571,04-08-2021,16-06-2022,24400,04-08-2021,16-06-2022
784,785,58,60600,1961.971735,Male,West,12,Home & Garden,88.64163878,26-06-2022,12-02-2023,60600,26-06-2022,12-02-2023
788,789,24,95900,1905.983244,Male,South,14,Electronics,55.7311972,15-05-2022,22-11-2023,95900,15-05-2022,22-11-2023
790,791,31,88400,901.9968009,Male,East,21,Home & Garden,26.86179571,16-03-2022,19-10-2022,88400,16-03-2022,19-10-2022
791,792,48,115100,1192.598371,Female,South,1,Clothing,56.68143259,18-10-2021,05-09-2022,115100,18-10-2021,05-09-2022
792,793,69,115700,1407.852023,Female,South,49,Clothing,80.71637664,08-02-2021,12-09-2021,115700,08-02-2021,12-09-2021
793,794,36,93900,404.6616706,Male,North,43,Electronics,56.08936438,24-01-2021,31-08-2023,93900,24-01-2021,31-08-2023
794,795,75,25500,905.4580438,Male,East,15,Toys,93.61915411,12-02-2021,16-12-2023,25500,12-02-2021,16-12-2023
795,796,64,103400,1663.046104,Male,West,36,Health,81.03325076,19-06-2021,11-10-2022,103400,19-06-2021,11-10-2022
797,798,70,83400,834.1840531,Male,North,22,Clothing,38.89584856,18-06-2021,11-07-2021,83400,18-06-2021,11-07-2021
798,799,22,116100,1333.457817,Female,North,32,Health,66.84854273,22-06-2022,30-09-2023,116100,22-06-2022,30-09-2023
800,801,29,26800,814.9652689,Female,North,33,Health,98.77158687,17-04-2022,27-09-2022,26800,17-04-2022,27-09-2022
802,803,69,74300,456.6073985,Male,North,39,Clothing,57.37693056,07-10-2022,06-08-2023,74300,07-10-2022,06-08-2023
803,804,76,63100,388.203785,Male,East,23,Home & Garden,75.66096897,23-05-2021,29-12-2022,63100,23-05-2021,29-12-2022
804,805,38,37800,1902.620947,Male,North,43,Clothing,27.32364195,07-11-2022,04-11-2023,37800,07-11-2022,04-11-2023
805,806,53,78600,435.5973066,Male,West,2,Electronics,28.36030273,11-04-2021,27-11-2023,78600,11-04-2021,27-11-2023
806,807,70,37600,536.6187877,Male,West,2,Home & Garden,65.43493462,29-07-2022,17-11-2023,37600,29-07-2022,17-11-2023
809,810,74,116100,1405.201135,Female,South,46,Electronics,34.13346008,20-04-2022,04-02-2023,116100,20-04-2022,04-02-2023
812,813,70,37100,1417.793348,Female,West,7,Toys,62.3173243,01-03-2021,25-07-2022,37100,01-03-2021,25-07-2022
813,814,59,32700,1017.303446,Male,South,36,Electronics,34.75918822,29-01-2021,29-05-2021,32700,29-01-2021,29-05-2021
815,816,56,25500,1026.120603,Male,South,37,Electronics,58.44489043,14-03-2021,06-10-2022,25500,14-03-2021,06-10-2022
817,818,48,112600,965.9294103,Female,West,36,Toys,61.92602138,29-01-2022,13-02-2023,112600,29-01-2022,13-02-2023
818,819,75,108300,966.7546686,Female,East,23,Electronics,84.70581909,26-04-2022,12-06-2022,108300,26-04-2022,12-06-2022
822,823,46,24700,911.559318,Male,South,31,Home & Garden,28.33277386,20-11-2021,15-11-2022,24700,20-11-2021,15-11-2022
823,824,60,53700,1071.596803,Female,North,34,Clothing,97.81531221,28-03-2021,27-06-2023,53700,28-03-2021,27-06-2023
824,825,28,79200,1496.520979,Female,North,1,Electronics,26.31502596,25-12-2021,06-08-2022,79200,25-12-2021,06-08-2022
826,827,64,64700,1399.191576,Male,West,40,Health,87.73650457,16-07-2021,01-04-2022,64700,16-07-2021,01-04-2022
827,828,29,69400,1849.664518,Male,East,43,Clothing,8.006366266,20-01-2022,05-10-2022,69400,20-01-2022,05-10-2022
828,829,26,88700,1644.241695,Male,East,15,Health,82.06880021,28-04-2021,15-07-2022,88700,28-04-2021,15-07-2022
829,830,27,42100,1132.490304,Female,North,48,Health,57.1008369,13-05-2022,17-06-2022,42100,13-05-2022,17-06-2022
832,833,34,100700,1245.952728,Female,North,44,Clothing,3.919683546,17-08-2022,30-11-2022,100700,17-08-2022,30-11-2022
835,836,24,41400,1112.833995,Male,North,6,Electronics,7.120009847,21-02-2022,24-01-2023,41400,21-02-2022,24-01-2023
836,837,63,103300,498.8396269,Female,West,8,Clothing,88.72043143,12-04-2022,06-11-2023,103300,12-04-2022,06-11-2023
838,839,57,72800,1936.130793,Female,North,34,Home & Garden,19.69411732,31-12-2021,08-04-2023,72800,31-12-2021,08-04-2023
839,840,59,72800,1322.375459,Female,West,32,Electronics,62.04679732,02-06-2021,22-06-2021,72800,02-06-2021,22-06-2021
840,841,26,81500,1137.502853,Female,South,42,Toys,79.46795684,29-09-2021,25-07-2023,81500,29-09-2021,25-07-2023
841,842,67,64200,1867.254119,Male,North,4,Electronics,88.95906414,27-01-2022,08-12-2022,64200,27-01-2022,08-12-2022
842,843,44,81100,1181.293326,Male,East,44,Clothing,46.83069268,01-07-2022,03-09-2023,81100,01-07-2022,03-09-2023
843,844,75,28300,1061.643386,Male,East,39,Health,89.74998774,26-12-2022,22-02-2023,28300,26-12-2022,22-02-2023
845,846,22,98300,1431.077926,Female,North,24,Health,68.82280422,06-03-2022,25-10-2022,98300,06-03-2022,25-10-2022
847,848,54,75300,953.1903837,Female,North,26,Clothing,23.59517892,08-07-2021,30-01-2023,75300,08-07-2021,30-01-2023
849,850,36,88900,768.8845402,Male,South,36,Electronics,34.2018825,30-01-2022,18-12-2022,88900,30-01-2022,18-12-2022
851,852,65,84100,837.9526475,Male,North,10,Health,28.41628057,07-08-2021,08-11-2022,84100,07-08-2021,08-11-2022
853,854,18,119300,836.4856448,Male,West,12,Health,47.75240359,09-07-2021,01-08-2021,119300,09-07-2021,01-08-2021
854,855,39,23400,163.1083562,Male,South,1,Clothing,37.50412945,22-08-2021,05-02-2023,23400,22-08-2021,05-02-2023
856,857,34,57400,1710.236007,Male,West,16,Electronics,19.45299749,20-08-2021,11-03-2022,57400,20-08-2021,11-03-2022
857,858,24,98700,1456.068427,Female,South,5,Home & Garden,44.74114543,24-12-2021,22-04-2023,98700,24-12-2021,22-04-2023
858,859,42,99200,733.5801993,Female,East,19,Home & Garden,62.46355587,23-04-2022,07-10-2022,99200,23-04-2022,07-10-2022
861,862,53,86300,1100.070874,Female,South,26,Electronics,44.32811764,25-08-2021,12-01-2022,86300,25-08-2021,12-01-2022
862,863,23,23800,429.9730251,Female,East,49,Health,94.79609168,02-02-2021,13-08-2021,23800,02-02-2021,13-08-2021
863,864,77,42200,1097.06676,Male,East,39,Health,13.46589266,01-08-2021,07-11-2023,42200,01-08-2021,07-11-2023
865,866,36,43400,1700.869262,Male,North,9,Electronics,61.76380505,14-01-2022,18-04-2022,43400,14-01-2022,18-04-2022
866,867,78,66800,806.5975162,Male,West,45,Home & Garden,82.00641195,02-01-2021,20-04-2022,66800,02-01-2021,20-04-2022
871,872,27,45000,1149.410793,Female,North,37,Clothing,87.75817725,06-10-2021,20-12-2022,45000,06-10-2021,20-12-2022
872,873,43,37000,1171.497125,Female,East,20,Home & Garden,71.45834712,02-08-2021,04-02-2022,37000,02-08-2021,04-02-2022
873,874,36,118000,1435.097437,Female,South,8,Electronics,52.42366566,12-10-2021,13-08-2022,118000,12-10-2021,13-08-2022
876,877,20,119300,579.0884797,Male,West,21,Clothing,48.05782527,01-10-2021,17-08-2023,119300,01-10-2021,17-08-2023
877,878,62,99000,180.2883975,Male,South,41,Toys,62.07082263,11-01-2021,29-04-2021,99000,11-01-2021,29-04-2021
878,879,30,115400,1755.695377,Female,East,19,Toys,7.922653788,16-02-2021,16-04-2023,115400,16-02-2021,16-04-2023
879,880,67,36800,1463.162213,Female,East,29,Electronics,49.73513231,30-05-2022,22-04-2023,36800,30-05-2022,22-04-2023
880,881,45,64500,616.8968577,Male,North,31,Clothing,69.8157644,04-10-2022,17-05-2023,64500,04-10-2022,17-05-2023
881,882,79,44400,1206.758526,Male,South,6,Toys,58.40719099,14-03-2022,03-08-2023,44400,14-03-2022,03-08-2023
883,884,37,34400,1782.668511,Male,North,43,Home & Garden,22.34273167,02-11-2022,02-06-2023,34400,02-11-2022,02-06-2023
884,885,45,81400,247.5145599,Male,East,29,Health,30.96702001,03-03-2022,20-07-2022,81400,03-03-2022,20-07-2022
887,888,58,106200,1174.59309,Male,North,1,Toys,62.17266153,22-01-2021,03-01-2022,106200,22-01-2021,03-01-2022
888,889,56,71700,1166.351334,Female,East,44,Home & Garden,58.97376126,24-01-2022,22-09-2022,71700,24-01-2022,22-09-2022
889,890,18,54700,127.9336163,Male,South,15,Home & Garden,97.04174794,15-05-2021,28-05-2021,54700,15-05-2021,28-05-2021
891,892,30,94700,1008.413915,Female,North,21,Toys,10.81226073,08-08-2021,27-03-2023,94700,08-08-2021,27-03-2023
895,896,77,84200,985.0211945,Female,West,17,Clothing,82.58554209,25-08-2022,20-06-2023,84200,25-08-2022,20-06-2023
897,898,42,37200,538.2671783,Female,West,39,Electronics,34.66437466,25-10-2021,24-12-2022,37200,25-10-2021,24-12-2022
898,899,73,39600,1255.996659,Female,East,3,Health,31.88537706,19-05-2022,21-12-2023,39600,19-05-2022,21-12-2023
899,900,50,80100,1662.182597,Male,East,30,Home & Garden,86.14071816,16-11-2022,31-08-2023,80100,16-11-2022,31-08-2023
900,901,55,82100,396.8672107,Female,North,35,Clothing,19.67328664,23-12-2021,09-08-2023,82100,23-12-2021,09-08-2023
901,902,70,97400,1836.096772,Male,West,29,Home & Garden,16.04177054,31-03-2022,20-06-2022,97400,31-03-2022,20-06-2022
904,905,61,53200,873.0993853,Male,East,28,Electronics,81.09308556,10-12-2022,01-08-2023,53200,10-12-2022,01-08-2023
906,907,49,113600,1455.720097,Female,West,26,Electronics,17.34619981,03-02-2021,22-02-2021,113600,03-02-2021,22-02-2021
907,908,62,92000,1596.675314,Male,West,7,Health,20.91941676,05-09-2021,13-10-2022,92000,05-09-2021,13-10-2022
908,909,78,42800,1669.216037,Female,West,39,Health,61.91837785,11-02-2021,28-09-2021,42800,11-02-2021,28-09-2021
909,910,64,99000,1971.821134,Male,East,31,Home & Garden,24.60352262,03-05-2021,20-07-2021,99000,03-05-2021,20-07-2021
910,911,38,48700,1586.742899,Male,East,5,Health,87.72802314,27-01-2021,31-01-2022,48700,27-01-2021,31-01-2022
914,915,28,68500,101.3149821,Male,West,36,Health,84.56431204,11-05-2022,12-07-2023,68500,11-05-2022,12-07-2023
917,918,53,51800,59.64599487,Female,North,40,Health,33.62965413,05-04-2022,15-07-2022,51800,05-04-2022,15-07-2022
919,920,36,95000,787.1835984,Male,South,45,Clothing,56.19752393,08-05-2021,24-07-2021,95000,08-05-2021,24-07-2021
920,921,37,57500,1175.174608,Female,West,22,Electronics,53.78282791,11-01-2022,26-08-2023,57500,11-01-2022,26-08-2023
922,923,35,94900,1246.024548,Male,South,15,Toys,34.75338627,24-03-2021,01-10-2023,94900,24-03-2021,01-10-2023
923,924,64,93000,970.9826324,Female,South,49,Clothing,0.589694004,19-06-2022,16-10-2023,93000,19-06-2022,16-10-2023
924,925,58,70600,1330.173614,Male,South,5,Home & Garden,3.503165294,07-06-2022,02-10-2022,70600,07-06-2022,02-10-2022
925,926,66,58400,453.869608,Male,North,4,Home & Garden,66.38264614,30-11-2022,21-09-2023,58400,30-11-2022,21-09-2023
926,927,31,27500,243.4295106,Female,North,11,Home & Garden,52.32580482,20-09-2022,02-12-2022,27500,20-09-2022,02-12-2022
927,928,32,30600,1200.93923,Male,South,18,Clothing,82.10112597,05-11-2022,14-12-2022,30600,05-11-2022,14-12-2022
928,929,48,99300,979.6852435,Male,West,42,Clothing,30.04098588,13-04-2021,29-09-2022,99300,13-04-2021,29-09-2022
929,930,18,37600,73.19795501,Male,West,49,Electronics,81.54722372,03-06-2022,15-03-2023,37600,03-06-2022,15-03-2023
931,932,71,110500,230.1286593,Male,North,15,Electronics,9.669838555,15-11-2022,28-05-2023,110500,15-11-2022,28-05-2023
932,933,71,56800,1072.086527,Male,South,6,Toys,97.79115626,13-09-2021,07-05-2023,56800,13-09-2021,07-05-2023
933,934,20,95800,803.6398057,Male,North,16,Home & Garden,51.19359291,04-09-2021,01-10-2021,95800,04-09-2021,01-10-2021
934,935,33,81100,1234.040784,Male,South,47,Clothing,62.9478514,11-07-2021,15-06-2022,81100,11-07-2021,15-06-2022
936,937,74,56100,613.343994,Male,East,9,Health,36.24122522,19-06-2022,19-12-2022,56100,19-06-2022,19-12-2022
940,941,49,104200,1367.731299,Male,North,13,Electronics,65.70008866,20-03-2022,09-07-2022,104200,20-03-2022,09-07-2022
942,943,25,72400,1031.722071,Male,West,27,Electronics,19.01258977,14-07-2021,01-06-2023,72400,14-07-2021,01-06-2023
943,944,55,59800,868.9532964,Male,South,9,Home & Garden,33.25960844,15-09-2021,01-08-2022,59800,15-09-2021,01-08-2022
944,945,29,74400,126.4882891,Male,North,5,Clothing,10.87958464,05-08-2022,23-09-2022,74400,05-08-2022,23-09-2022
945,946,41,88700,63.7299737,Female,North,22,Clothing,60.22084642,26-12-2021,01-04-2023,88700,26-12-2021,01-04-2023
946,947,45,102300,728.7631652,Female,South,31,Health,80.09376958,02-07-2022,07-08-2022,102300,02-07-2022,07-08-2022
947,948,70,35500,680.6485635,Female,South,3,Health,61.08386566,18-04-2021,26-04-2023,35500,18-04-2021,26-04-2023
948,949,25,84100,787.6364066,Female,West,30,Health,17.9783831,24-01-2021,22-04-2023,84100,24-01-2021,22-04-2023
950,951,45,95800,1481.573176,Male,West,35,Home & Garden,83.49341485,10-04-2022,31-12-2022,95800,10-04-2022,31-12-2022
951,952,53,86700,1716.789541,Male,South,6,Toys,30.27247961,22-01-2021,11-09-2021,86700,22-01-2021,11-09-2021
952,953,43,103600,1878.654978,Male,North,28,Clothing,83.26515023,17-05-2022,25-07-2022,103600,17-05-2022,25-07-2022
954,955,75,65800,1407.714084,Male,West,42,Clothing,2.174080784,16-05-2022,01-05-2023,65800,16-05-2022,01-05-2023
956,957,67,60700,848.2164,Female,West,25,Home & Garden,54.29424058,11-02-2022,02-09-2023,60700,11-02-2022,02-09-2023
959,960,54,88900,1041.039571,Male,South,22,Clothing,64.10423183,13-10-2021,06-09-2023,88900,13-10-2021,06-09-2023
961,962,53,111800,373.2638712,Female,West,39,Health,18.46272067,19-01-2022,21-05-2023,111800,19-01-2022,21-05-2023
962,963,44,41400,234.1469289,Male,West,30,Electronics,76.00358555,11-01-2021,14-09-2021,41400,11-01-2021,14-09-2021
966,967,50,91500,399.6377104,Female,East,40,Electronics,9.105385031,30-10-2021,10-07-2022,91500,30-10-2021,10-07-2022
967,968,70,60400,1119.884615,Male,West,33,Electronics,25.11002237,23-07-2021,25-12-2022,60400,23-07-2021,25-12-2022
968,969,37,37300,1176.160193,Female,West,25,Electronics,28.49298055,11-12-2021,15-10-2022,37300,11-12-2021,15-10-2022
970,971,45,64100,1705.783381,Male,North,24,Health,16.08833677,22-01-2021,26-03-2021,64100,22-01-2021,26-03-2021
973,974,30,67500,1367.161139,Female,South,46,Clothing,49.09317308,06-04-2021,11-10-2021,67500,06-04-2021,11-10-2021
974,975,63,31200,562.7583204,Male,West,13,Health,43.46945143,21-03-2022,02-12-2023,31200,21-03-2022,02-12-2023
975,976,52,28800,1658.796886,Male,East,10,Electronics,56.6601347,20-09-2021,30-09-2023,28800,20-09-2021,30-09-2023
977,978,23,99300,1582.265232,Female,North,18,Clothing,99.00863746,18-01-2022,06-09-2022,99300,18-01-2022,06-09-2022
978,979,35,21000,255.830941,Male,North,32,Health,55.75243762,04-07-2022,11-10-2022,21000,04-07-2022,11-10-2022
980,981,22,111600,587.2180007,Female,East,36,Electronics,58.99776047,24-08-2022,25-09-2023,111600,24-08-2022,25-09-2023
982,983,42,37500,1501.071832,Male,East,16,Electronics,2.403769667,02-04-2021,27-07-2023,37500,02-04-2021,27-07-2023
984,985,27,25800,1414.583926,Male,South,18,Toys,1.056687207,08-06-2021,10-07-2023,25800,08-06-2021,10-07-2023
987,988,67,27100,626.4104163,Male,West,16,Electronics,23.7604497,07-01-2022,31-01-2022,27100,07-01-2022,31-01-2022
990,991,22,118800,401.883726,Female,North,1,Health,6.635117199,06-02-2021,06-09-2021,118800,06-02-2021,06-09-2021
992,993,73,90200,1073.801292,Female,East,38,Electronics,82.26562837,22-11-2022,02-12-2022,90200,22-11-2022,02-12-2022
993,994,50,109900,1646.850308,Male,South,28,Electronics,83.67375699,06-02-2021,29-01-2022,109900,06-02-2021,29-01-2022
994,995,71,27600,220.7320881,Female,West,45,Health,72.67000842,11-04-2021,14-10-2022,27600,11-04-2021,14-10-2022
995,996,18,67100,1587.944821,Female,South,17,Health,35.27450125,27-06-2022,15-10-2023,67100,27-06-2022,15-10-2023
996,997,35,57300,1626.912569,Male,South,1,Electronics,82.12544499,09-07-2021,10-02-2022,57300,09-07-2021,10-02-2022
997,998,49,92200,974.9025202,Male,East,32,Electronics,53.97745202,27-05-2022,27-09-2023,92200,27-05-2022,27-09-2023
999,1000,66,97400,365.6879055,Male,North,40,Clothing,43.72767691,31-03-2021,04-06-2021,97400,31-03-2021,04-06-2021
1000,1001,28,46500,1420.704025,Female,North,43,Clothing,6.576776983,06-01-2021,17-05-2023,46500,06-01-2021,17-05-2023
1001,1002,38,38700,1429.320331,Female,East,46,Toys,94.49086867,19-05-2021,13-07-2022,38700,19-05-2021,13-07-2022
1002,1003,43,99700,1798.743445,Male,West,24,Health,61.91164174,05-04-2021,13-07-2021,99700,05-04-2021,13-07-2021
1005,1006,76,104100,260.4015129,Male,West,39,Health,66.77499845,21-01-2022,07-09-2023,104100,21-01-2022,07-09-2023
1006,1007,44,42100,1447.842068,Female,South,39,Home & Garden,1.72609855,03-05-2021,31-10-2023,42100,03-05-2021,31-10-2023
1007,1008,66,91900,383.8936369,Female,East,10,Clothing,52.53712798,12-10-2021,17-04-2022,91900,12-10-2021,17-04-2022
1009,1010,50,28100,984.6797737,Male,West,25,Electronics,4.451885141,22-11-2022,13-03-2023,28100,22-11-2022,13-03-2023
1010,1011,51,51800,69.0344576,Female,East,10,Electronics,95.61656839,05-05-2022,07-07-2022,51800,05-05-2022,07-07-2022
1011,1012,58,47800,512.6616735,Female,West,19,Health,42.4159683,21-11-2021,31-12-2022,47800,21-11-2021,31-12-2022
1012,1013,52,43200,827.6214248,Female,South,46,Toys,28.98954921,11-02-2022,28-05-2022,43200,11-02-2022,28-05-2022
1013,1014,18,50500,573.6799106,Male,West,45,Clothing,53.18213616,03-06-2022,10-10-2023,50500,03-06-2022,10-10-2023
1015,1016,65,91700,1461.46427,Female,South,16,Clothing,47.47550618,18-03-2021,30-04-2023,91700,18-03-2021,30-04-2023
1016,1017,72,26400,1630.032357,Female,South,2,Electronics,64.51056766,22-08-2021,05-03-2023,26400,22-08-2021,05-03-2023
1019,1020,34,81600,783.3960575,Female,West,29,Electronics,13.80309152,09-04-2022,19-05-2022,81600,09-04-2022,19-05-2022
1020,1021,22,40600,1023.237866,Male,North,31,Home & Garden,3.866338618,28-09-2021,12-12-2022,40600,28-09-2021,12-12-2022
1025,1026,70,56600,158.0444632,Male,East,15,Electronics,45.58894241,20-12-2022,10-07-2023,56600,20-12-2022,10-07-2023
1026,1027,40,62300,1788.941364,Male,North,44,Home & Garden,3.881198103,27-09-2021,22-04-2022,62300,27-09-2021,22-04-2022
1027,1028,54,47800,787.9118538,Female,West,31,Clothing,3.486590632,28-08-2022,23-12-2022,47800,28-08-2022,23-12-2022
1029,1030,54,35900,1454.898583,Female,North,41,Toys,35.30811574,26-06-2021,31-12-2021,35900,26-06-2021,31-12-2021
1031,1032,27,22000,1727.729451,Male,South,45,Health,49.39872654,22-11-2022,04-01-2023,22000,22-11-2022,04-01-2023
1032,1033,36,96500,645.6743394,Female,East,26,Health,36.06696643,03-10-2022,26-05-2023,96500,03-10-2022,26-05-2023
1033,1034,34,28600,1707.380535,Male,East,38,Toys,55.54413024,29-09-2022,21-09-2023,28600,29-09-2022,21-09-2023
1034,1035,38,106900,101.0492099,Male,West,36,Health,72.08252281,27-01-2021,23-10-2022,106900,27-01-2021,23-10-2022
1036,1037,26,96200,1254.568006,Male,West,3,Electronics,15.70836476,01-03-2021,09-11-2021,96200,01-03-2021,09-11-2021
1040,1041,62,76900,687.7884542,Female,East,41,Clothing,75.08303637,27-09-2021,04-12-2022,76900,27-09-2021,04-12-2022
1041,1042,30,90400,375.6075673,Female,East,27,Toys,22.28068424,26-04-2021,08-10-2022,90400,26-04-2021,08-10-2022
1042,1043,21,20400,577.0742313,Male,West,1,Home & Garden,99.42996338,02-09-2021,27-01-2023,20400,02-09-2021,27-01-2023
1043,1044,79,64000,925.9991579,Female,South,17,Home & Garden,16.78315214,22-10-2022,22-04-2023,64000,22-10-2022,22-04-2023
1044,1045,18,102400,961.2639936,Male,North,48,Toys,78.87717156,27-08-2022,29-05-2023,102400,27-08-2022,29-05-2023
1045,1046,66,82500,1570.340458,Male,East,34,Health,70.50444718,26-03-2021,31-05-2022,82500,26-03-2021,31-05-2022
1049,1050,45,20400,246.1895344,Female,East,34,Clothing,85.23740975,20-06-2022,19-01-2023,20400,20-06-2022,19-01-2023
1050,1051,48,95300,525.5996335,Male,West,40,Health,38.61869441,30-03-2021,30-03-2023,95300,30-03-2021,30-03-2023
1051,1052,25,105400,1659.393398,Female,East,25,Clothing,6.117988092,03-07-2022,29-09-2023,105400,03-07-2022,29-09-2023
1052,1053,56,120000,768.4281965,Female,East,2,Toys,37.44191769,22-05-2022,17-05-2023,120000,22-05-2022,17-05-2023
1053,1054,43,50700,1962.739486,Male,East,34,Toys,20.73126732,12-02-2022,31-08-2022,50700,12-02-2022,31-08-2022
1054,1055,75,45900,943.1814974,Female,South,26,Clothing,93.92070171,28-09-2021,29-06-2023,45900,28-09-2021,29-06-2023
1056,1057,71,75800,816.5679419,Male,South,9,Toys,5.083266421,09-05-2022,03-11-2023,75800,09-05-2022,03-11-2023
1060,1061,67,46800,1104.08541,Male,West,29,Clothing,90.62964019,16-12-2021,20-02-2022,46800,16-12-2021,20-02-2022
1061,1062,29,33300,1888.680661,Female,East,25,Home & Garden,11.22796058,24-11-2021,02-11-2023,33300,24-11-2021,02-11-2023
1062,1063,18,84000,516.7628267,Female,West,38,Home & Garden,44.0290046,13-10-2021,06-08-2023,84000,13-10-2021,06-08-2023
1063,1064,71,59500,219.1142095,Female,North,44,Health,93.18832818,04-02-2021,22-01-2023,59500,04-02-2021,22-01-2023
1064,1065,61,75600,798.6577405,Female,North,25,Toys,14.52116867,17-06-2022,08-08-2023,75600,17-06-2022,08-08-2023
1067,1068,47,77200,705.4698356,Female,South,44,Health,3.00583122,02-05-2022,21-11-2022,77200,02-05-2022,21-11-2022
1069,1070,74,66900,713.3933884,Female,North,37,Electronics,95.27928271,08-06-2022,11-08-2022,66900,08-06-2022,11-08-2022
1070,1071,34,64700,1242.094774,Male,North,16,Home & Garden,57.1092609,26-05-2021,06-12-2023,64700,26-05-2021,06-12-2023
1075,1076,54,21400,1739.742916,Female,West,20,Health,22.77604031,29-09-2021,01-10-2023,21400,29-09-2021,01-10-2023
1076,1077,38,100400,1137.986919,Female,North,9,Clothing,10.18373416,18-06-2022,11-05-2023,100400,18-06-2022,11-05-2023
1077,1078,31,110800,1042.922632,Male,East,23,Electronics,72.89330117,22-09-2022,25-04-2023,110800,22-09-2022,25-04-2023
1078,1079,19,55500,583.508757,Female,West,39,Home & Garden,18.05650167,05-04-2021,22-09-2023,55500,05-04-2021,22-09-2023
1081,1082,56,59000,1376.645536,Male,North,19,Toys,3.957096181,14-09-2021,17-12-2021,59000,14-09-2021,17-12-2021
1084,1085,51,46500,545.1129033,Male,West,43,Electronics,15.26968104,12-03-2022,06-09-2023,46500,12-03-2022,06-09-2023
1087,1088,51,39600,849.8896254,Male,South,21,Health,35.65657573,19-01-2021,26-02-2021,39600,19-01-2021,26-02-2021
1091,1092,44,75700,345.9065619,Female,South,7,Electronics,96.29802481,09-06-2021,10-10-2021,75700,09-06-2021,10-10-2021
1092,1093,68,46100,146.4819395,Female,West,22,Clothing,39.07290562,10-04-2021,17-03-2023,46100,10-04-2021,17-03-2023
1094,1095,69,27700,456.2318153,Male,West,23,Health,66.57724211,18-02-2021,06-08-2021,27700,18-02-2021,06-08-2021
1095,1096,74,111100,1040.304272,Male,North,15,Toys,80.94785841,08-11-2022,15-01-2023,111100,08-11-2022,15-01-2023
1096,1097,55,21300,222.6868275,Female,West,30,Home & Garden,62.62149909,19-02-2022,11-11-2022,21300,19-02-2022,11-11-2022
1097,1098,50,66100,1508.50616,Female,North,34,Toys,69.86102221,28-02-2021,24-09-2023,66100,28-02-2021,24-09-2023
1098,1099,41,87500,1814.342368,Male,North,13,Clothing,37.29315686,02-07-2021,17-09-2021,87500,02-07-2021,17-09-2021
1103,1104,59,117900,40.89122245,Female,South,34,Home & Garden,0.125679539,09-07-2022,14-08-2023,117900,09-07-2022,14-08-2023
1104,1105,68,86500,800.2985025,Male,North,34,Home & Garden,93.37621198,20-12-2021,17-04-2022,86500,20-12-2021,17-04-2022
1105,1106,34,80100,1704.884761,Male,South,36,Home & Garden,30.60152412,01-08-2021,10-11-2022,80100,01-08-2021,10-11-2022
1106,1107,22,58700,704.8005388,Male,West,35,Health,19.66320425,08-07-2021,16-01-2022,58700,08-07-2021,16-01-2022
1109,1110,27,98500,1608.035775,Male,South,14,Home & Garden,47.45464264,17-05-2021,12-07-2021,98500,17-05-2021,12-07-2021
1110,1111,73,92800,337.9755162,Female,North,34,Electronics,6.935167102,30-01-2021,26-07-2023,92800,30-01-2021,26-07-2023
